DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;7;7;30000;852.5;10;5;1;1;1;-2;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;7;9;30000;928.1;10;5;1;1;1;1;0;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;7;13;30000;1116.1;8;5;1;1;1;-2;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;9;4;30000;664.7;15;5;1;1;9;-1;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;9;5;30000;784.4;15;5;1;1;9;1;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;9;7;30000;936.0;11;5;1;1;1;0;-2;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;9;9;30000;1090.7;15;5;1;1;9;0;-1;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;4;30000;932.0;15;5;1;1;13;-1;-2;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;5;30000;1081.1;15;5;1;1;1;0;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;7;30000;1296.2;15;5;1;1;13;0;-2;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;13;30000;1720.8;15;5;1;1;13;-2;-2;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;16;30000;1841.1;15;5;1;1;13;-1;-2;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;17;30000;1868.8;15;5;1;1;13;1;-1;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;20;30000;1967.0;15;5;1;1;13;0;0;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;24;30000;1991.4;15;5;1;1;13;0;0;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;26;30000;2016.0;8;5;1;1;1;-1;0;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;32;30000;2037.3;15;5;1;1;13;0;-2;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;13;45;30000;2025.7;8;5;1;1;13;1;-2;0;0;0;1;0;0;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;14;28;30000;2130.6;8;5;1;1;14;0;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;16;5;30000;1287.1;15;5;1;1;1;1;-2;0;0;0;1;0;2;0;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;16;13;30000;2129.7;15;5;1;1;16;1;-1;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;16;16;30000;2291.8;15;5;1;1;16;-2;-2;0;0;0;1;0;2;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;16;24;30000;2468.4;15;5;1;1;16;-2;-1;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;16;26;30000;2451.6;15;5;1;1;16;-2;-2;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;17;4;30000;1043.4;15;5;1;1;1;-1;0;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;17;5;30000;1217.5;15;5;1;1;1;0;-2;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;17;13;30000;1885.7;15;5;1;1;17;0;-2;0;0;0;1;0;0;2;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;17;17;30000;2040.6;15;5;1;1;17;0;-1;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;17;32;30000;2147.0;15;5;1;1;17;0;-2;0;0;0;1;0;2;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;20;5;30000;1477.9;15;5;1;1;20;0;-1;0;0;0;1;0;2;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;20;6;30000;1608.4;15;5;1;1;20;0;-1;0;0;0;1;0;0;2;0;0
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;20;13;30000;2294.8;15;5;1;1;20;0;0;0;0;0;1;0;0;0;0;1
Intel(R) Data Center GPU Max 1550 [0x0bd5];3;5;20;20;30000;2421.0;15;5;1;1;20;1;0;0;0;0;1;0;0;2;0;1
