DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;6;8;6;30000;779.9;14;6;1;3;0;0;0;0;0;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;8;7;30000;818.3;12;6;1;4;0;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;6;8;8;30000;788.7;26;6;1;4;0;0;-1;0;1;1;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;4;4;30000;801.4;9;1;1;2;1;-2;-2;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;4;5;30000;909.7;10;1;1;2;1;0;-1;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;4;7;30000;1095.2;9;1;1;5;1;-2;-1;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;4;9;30000;1221.8;12;1;1;5;1;-2;1;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;4;13;30000;385.3;19;7;1;2;0;-1;-2;0;1;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;5;4;30000;437.9;16;7;1;3;1;1;0;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;5;5;30000;464.2;10;7;1;4;1;-1;-2;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;5;7;30000;508.5;10;7;1;3;1;-1;0;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;5;9;30000;513.4;14;7;1;6;1;0;0;0;1;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;5;13;30000;1078.2;10;1;2;3;0;1;-2;1;0;1;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;6;6;30000;583.7;14;7;1;5;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;6;7;30000;1190.4;10;2;1;2;1;0;-1;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;6;8;30000;612.5;18;7;1;2;1;1;-2;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;4;30000;714.1;24;7;1;2;1;0;-2;0;1;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;5;30000;671.0;13;7;1;6;0;-2;0;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;6;30000;675.0;35;7;1;3;0;0;1;1;0;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;7;30000;802.1;18;7;1;2;0;2;0;0;0;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;8;30000;705.1;18;7;1;6;1;-2;0;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;9;30000;746.3;7;7;1;4;0;-2;-1;0;0;1;1;0;1;1;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;7;13;30000;724.8;20;7;1;2;0;1;0;1;0;1;1;1;1;1;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;8;6;30000;789.0;19;7;1;3;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;8;7;30000;873.6;12;7;1;4;0;0;-2;0;1;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;8;8;30000;938.4;10;7;1;6;0;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;9;4;30000;738.2;15;7;1;2;1;-2;0;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;9;5;30000;822.3;13;7;1;3;0;0;-2;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;9;7;30000;911.0;12;7;1;4;0;0;0;0;0;0;1;1;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;13;4;30000;915.5;21;7;1;6;0;0;-2;0;0;1;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;13;5;30000;1027.1;9;7;1;4;0;1;0;1;0;1;1;1;1;1;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;13;7;30000;1216.3;22;7;1;2;0;0;0;1;0;1;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;7;13;13;30000;1388.6;5;1;2;3;0;0;-2;1;1;1;1;0;2;0;1;0
