DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 80GB HBM3 [0x658e];3;7;13;4;30000;0;11;7;1;2;1;-2;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;13;5;30000;0;11;7;1;3;1;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;13;7;30000;0;14;7;1;7;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;7;13;13;30000;0;10;7;1;7;1;-2;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;6;6;30000;0;11;8;1;1;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;6;7;30000;0;12;8;1;4;1;0;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;6;8;30000;0;11;8;1;5;1;-2;-1;0;0;0;1;0;0;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;7;6;30000;0;11;8;1;1;1;-1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;7;7;30000;0;12;8;1;6;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;7;8;30000;0;11;8;1;4;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;8;6;30000;0;12;8;1;3;1;1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;8;7;30000;0;20;8;1;3;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;8;8;8;30000;0;12;8;1;4;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;9;4;4;30000;0;12;9;1;4;1;0;-1;0;0;0;1;0;2;0;0;0
