DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;9;4;7;30000;736.5;12;9;1;7;1;-2;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;4;9;30000;825.1;10;8;1;7;9;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;4;13;30000;816.4;12;9;1;9;9;-1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;5;4;30000;781.6;11;9;1;4;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;5;5;30000;832.7;13;9;1;9;1;0;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;5;7;30000;1027.1;10;8;1;2;9;1;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;5;9;30000;1123.5;5;9;1;8;1;1;2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;7;4;30000;1062.3;12;9;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;7;5;30000;1204.3;8;8;1;9;1;1;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;7;7;30000;1411.1;10;8;1;3;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;4;30000;1567.1;17;9;1;7;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;5;30000;1746.7;17;9;1;4;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;9;30000;2231.4;12;9;1;4;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;16;30000;2577.6;19;9;1;8;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;22;30000;2133.6;12;8;1;7;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;9;32;30000;2587.8;6;9;1;8;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;13;4;30000;1769.2;13;9;1;2;1;-2;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;16;9;30000;3318.0;16;9;1;7;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;16;16;30000;3895.4;10;8;1;2;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;16;22;30000;3740.0;6;8;1;2;1;-2;2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;22;9;30000;4062.2;16;9;1;7;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;22;16;30000;4948.7;12;9;1;5;1;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;22;22;30000;4860.4;15;9;1;8;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;22;32;30000;5775.0;15;9;1;7;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;32;9;30000;5237.1;16;9;1;6;32;1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;9;32;22;30000;5975.8;15;9;1;9;32;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;9;32;32;30000;7554.5;12;9;1;2;32;0;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;10;4;4;30000;689.4;8;8;1;5;1;0;1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;10;4;10;30000;932.9;10;8;1;3;10;0;3;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;10;10;4;30000;1791.7;17;10;1;7;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;10;10;10;30000;2615.1;12;10;1;7;1;1;-2;0;0;0;1;0;1;0;0;0
